Tag,Employee Count,Employee IDs
needs,18,EMP0009 | EMP0019 | EMP0008 | EMP0010 | EMP0020 | EMP0023 | EMP0012 | EMP0022 | EMP0011 | EMP0003 | EMP0024 | EMP0013 | EMP0016 | EMP0005 | EMP0015 | EMP0004 | EMP0007 | EMP0006
critical,18,EMP0009 | EMP0008 | EMP0019 | EMP0021 | EMP0020 | EMP0023 | EMP0001 | EMP0012 | EMP0011 | EMP0014 | EMP0013 | EMP0024 | EMP0005 | EMP0016 | EMP0004 | EMP0015 | EMP0018 | EMP0017
in,21,EMP0009 | EMP0008 | EMP0019 | EMP0010 | EMP0021 | EMP0020 | EMP0001 | EMP0012 | EMP0023 | EMP0022 | EMP0014 | EMP0003 | EMP0024 | EMP0002 | EMP0016 | EMP0005 | EMP0004 | EMP0015 | EMP0018 | EMP0007 | EMP0017
escalated,22,EMP0009 | EMP0008 | EMP0019 | EMP0021 | EMP0020 | EMP0001 | EMP0023 | EMP0012 | EMP0022 | EMP0003 | EMP0014 | EMP0024 | EMP0013 | EMP0002 | EMP0016 | EMP0005 | EMP0004 | EMP0015 | EMP0018 | EMP0007 | EMP0006 | EMP0017
delayed,21,EMP0008 | EMP0019 | EMP0021 | EMP0010 | EMP0020 | EMP0023 | EMP0001 | EMP0012 | EMP0011 | EMP0003 | EMP0014 | EMP0024 | EMP0013 | EMP0016 | EMP0005 | EMP0004 | EMP0015 | EMP0007 | EMP0018 | EMP0006 | EMP0017
completed,19,EMP0009 | EMP0008 | EMP0019 | EMP0021 | EMP0010 | EMP0020 | EMP0023 | EMP0001 | EMP0011 | EMP0014 | EMP0003 | EMP0024 | EMP0013 | EMP0005 | EMP0004 | EMP0015 | EMP0018 | EMP0006 | EMP0017
follow,18,EMP0009 | EMP0008 | EMP0010 | EMP0021 | EMP0020 | EMP0023 | EMP0012 | EMP0022 | EMP0014 | EMP0003 | EMP0013 | EMP0002 | EMP0016 | EMP0005 | EMP0004 | EMP0018 | EMP0006 | EMP0017
approved,19,EMP0009 | EMP0008 | EMP0021 | EMP0010 | EMP0020 | EMP0012 | EMP0001 | EMP0011 | EMP0022 | EMP0003 | EMP0013 | EMP0002 | EMP0024 | EMP0005 | EMP0016 | EMP0015 | EMP0004 | EMP0007 | EMP0017
blocked,19,EMP0009 | EMP0019 | EMP0021 | EMP0010 | EMP0001 | EMP0023 | EMP0012 | EMP0022 | EMP0011 | EMP0014 | EMP0024 | EMP0002 | EMP0013 | EMP0004 | EMP0015 | EMP0018 | EMP0007 | EMP0017 | EMP0006
review,18,EMP0009 | EMP0019 | EMP0008 | EMP0010 | EMP0020 | EMP0023 | EMP0012 | EMP0022 | EMP0011 | EMP0003 | EMP0024 | EMP0013 | EMP0016 | EMP0005 | EMP0015 | EMP0004 | EMP0007 | EMP0006
progress,21,EMP0009 | EMP0008 | EMP0019 | EMP0010 | EMP0021 | EMP0020 | EMP0001 | EMP0012 | EMP0023 | EMP0022 | EMP0014 | EMP0003 | EMP0024 | EMP0002 | EMP0016 | EMP0005 | EMP0004 | EMP0015 | EMP0018 | EMP0007 | EMP0017
up,18,EMP0009 | EMP0008 | EMP0010 | EMP0021 | EMP0020 | EMP0023 | EMP0012 | EMP0022 | EMP0014 | EMP0003 | EMP0013 | EMP0002 | EMP0016 | EMP0005 | EMP0004 | EMP0018 | EMP0006 | EMP0017
urgent,17,EMP0009 | EMP0021 | EMP0020 | EMP0012 | EMP0023 | EMP0022 | EMP0003 | EMP0014 | EMP0024 | EMP0002 | EMP0013 | EMP0005 | EMP0015 | EMP0004 | EMP0007 | EMP0017 | EMP0006
