Employee ID,Date,Total Hours
EMP0014,2025-05-14,9.41
EMP0014,2025-05-18,9.02
EMP0009,2025-04-21,9.66
EMP0009,2025-04-20,10.00
EMP0004,2025-05-23,16.73
EMP0014,2025-05-25,9.60
EMP0022,2025-03-10,9.40
EMP0009,2025-04-30,9.13
EMP0001,2025-03-25,10.58
EMP0023,2025-04-02,9.33
EMP0015,2025-05-27,9.08
EMP0008,2025-03-08,11.44
EMP0012,2025-04-05,15.13
EMP0019,2025-05-10,9.36
EMP0009,2025-05-17,12.27
EMP0004,2025-04-06,9.64
EMP0009,2025-05-25,16.33
EMP0022,2025-05-03,9.25
EMP0008,2025-04-25,9.06
EMP0023,2025-03-14,9.46
EMP0011,2025-04-17,9.29
EMP0009,2025-06-06,13.14
EMP0019,2025-03-19,9.71
EMP0024,2025-04-14,13.16
EMP0008,2025-05-03,9.32
EMP0015,2025-04-10,9.03
EMP0008,2025-04-09,9.45
EMP0006,2025-05-09,9.88
EMP0013,2025-05-16,9.68
EMP0011,2025-05-08,9.82
EMP0007,2025-05-16,12.57
EMP0021,2025-05-23,9.39
EMP0020,2025-05-01,9.71
EMP0010,2025-05-04,13.56
EMP0004,2025-03-15,9.62
EMP0010,2025-04-01,12.48
EMP0018,2025-05-22,9.67
EMP0016,2025-03-25,9.67
EMP0007,2025-06-05,9.43
EMP0014,2025-03-26,10.05
EMP0017,2025-05-26,9.05
EMP0023,2025-05-30,9.15
EMP0013,2025-03-18,9.88
EMP0020,2025-03-20,9.98
EMP0012,2025-04-26,9.47
EMP0021,2025-04-20,16.87
EMP0014,2025-04-25,9.35
EMP0009,2025-03-28,9.84
EMP0009,2025-03-30,12.86
EMP0003,2025-05-08,13.35
